q,tot_outside_chan_lower,wua_lower,mean_hsi_lower,tot_outside_chan_upper,wua_upper,mean_hsi_upper,reach,reach_num
0,0,0,0,0,0,0,San Acacia,1
700,0,0,0,0,0,0,San Acacia,1
2000,246,88.56,0.36,865,423.85,0.49,San Acacia,1
3000,474,161.16,0.34,2922,1019.778,0.349,San Acacia,1
4000,699,202.71,0.29,4444,1377.64,0.31,San Acacia,1
5000,3310,496.5,0.15,5329,1273.631,0.239,San Acacia,1
6000,4224,489.984,0.116,6140,1197.3,0.195,San Acacia,1
7000,6284,766.648,0.122,6805,952.7,0.14,San Acacia,1
0,0,0,0,0,0,0,Isleta,2
700,0,0,0,0,0,0,Isleta,2
2000,440,127.6,0.29,564,186.12,0.33,Isleta,2
3000,759,182.16,0.24,999,289.71,0.29,Isleta,2
4000,1168,292,0.25,2089,668.48,0.32,Isleta,2
5000,1813,435.12,0.24,3333,966.57,0.29,Isleta,2
6000,2384,476.8,0.2,4704,1176,0.25,Isleta,2
7000,4004,600.6,0.15,5594,1062.86,0.19,Isleta,2
0,0,0,0,0,0,0,Angostura,3
700,0,0,0,0,0,0,Angostura,3
2000,193,71.41,0.37,220,88,0.4,Angostura,3
3000,321,93.09,0.29,370,118.4,0.32,Angostura,3
4000,398,79.6,0.2,433,90.93,0.21,Angostura,3
5000,646,148.58,0.23,1217,486.8,0.4,Angostura,3
6000,970,242.5,0.25,1430,443.3,0.31,Angostura,3
7000,1224,269.28,0.22,1915,574.5,0.3,Angostura,3
