Station,Drainage,State,County,Quad,Reach,RM_Start,Locality,UTM_Zone,UTM_Easting,UTM_Northing,Date Collected,Sampling_Period,Secchi_Depth,Salinity_Min,Temp_Max,Air_Temp_Max,DO_Min,Conductivity_True,Conductivity_Specific,pH_Min,Station+Haul,Haul,Depletion #,Habitat,Debris?,Gear,Electrofishing?,Closed?,Effort_m^2,AFSorder,Family,Genus,Species,Species_Codes,"Length (SL,mm)",SumOfSPEC,SumOfREL,Stage,AgeClass,VIE Colors,VIE Locations,Projects
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-1,1,,MCRU,,regular,,,30.25,,,,,No Fish Collected,,,,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-2,2,,MCRU,,regular,,,30.25,,,,,No Fish Collected,,,,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-3,3,,MCRU,,regular,,,33,,,,,No Fish Collected,,,,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-4,4,,MCRU,,regular,,,31.5,,,,,No Fish Collected,,,,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-5,5,,MCSHPO,,regular,,,14.5,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,26,26,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-6,6,,MCSHPO,,regular,,,24.25,3,Cyprinidae,Cyprinus,carpio,CYPCAR,,1,1,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-6,6,,MCSHPO,,regular,,,24.25,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,14,14,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-6,6,,MCSHPO,,regular,,,24.25,5,Ictaluridae,Ictalurus,punctatus,ICTPUN,,13,13,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-7,7,,MCSHRU,1,regular,,,29.25,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,8,8,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-7,7,,MCSHRU,1,regular,,,29.25,4,Leuciscidae,Hybognathus,amarus,HYBAMA,57,1,1,,1,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-7,7,,MCSHRU,1,regular,,,29.25,5,Ictaluridae,Ictalurus,punctatus,ICTPUN,,10,10,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-8,8,,MCSHRU,,regular,,,31.5,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,4,4,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-8,8,,MCSHRU,,regular,,,31.5,4,Leuciscidae,Hybognathus,amarus,HYBAMA,55,1,1,,1,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-9,9,,MCSHRU,,regular,,,29.75,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,1,1,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-10,10,,MCSHRU,,regular,,,28.75,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,8,8,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-11,11,,MCSHRU,,regular,,,30,3,Cyprinidae,Cyprinus,carpio,CYPCAR,,2,2,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-11,11,,MCSHRU,,regular,,,30,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,8,8,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-11,11,,MCSHRU,,regular,,,30,5,Ictaluridae,Ictalurus,punctatus,ICTPUN,,3,3,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-12,12,,MCSHRU,,regular,,,32.75,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,26,26,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-12,12,,MCSHRU,,regular,,,32.75,5,Ictaluridae,Ictalurus,punctatus,ICTPUN,,4,4,,,,,1
RKD20-001,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,3/31/20,202004,8,0.24,13.1,10.0,7.15,383.,495.,8.22,RKD20-001-13,13,,MCSHRU,,regular,,,29.5,4,Leuciscidae,Cyprinella,lutrensis,CYPLUT,,2,2,,,,,1
