Date,Dry Length (River Miles),Upstream Dry River Mile,Downstream Dry River Mile
06/06/2002,10.10,84.10,74.00
06/09/2002,2.60,76.60,74.00
06/10/2002,5.60,79.60,74.00
06/13/2002,6.60,64.10,57.50
06/20/2002,8.20,82.20,74.00
06/21/2002,10.90,84.90,74.00
06/25/2002,6.60,64.10,57.50
06/26/2002,17.90,91.90,74.00
06/27/2002,11.10,85.10,74.00
06/28/2002,10.70,84.70,74.00
06/29/2002,18.40,92.40,74.00
06/30/2002,11.10,85.10,74.00
07/01/2002,20.00,94.00,74.00
07/02/2002,20.00,94.00,74.00
07/03/2002,20.60,94.60,74.00
07/04/2002,20.00,94.00,74.00
07/05/2002,12.40,86.40,74.00
07/06/2002,18.50,92.50,74.00
07/08/2002,19.30,93.30,74.00
07/09/2002,19.30,93.30,74.00
07/10/2002,20.70,94.70,74.00
07/11/2002,20.00,94.00,74.00
07/12/2002,21.10,95.10,74.00
07/15/2002,20.00,94.00,74.00
07/16/2002,19.10,93.10,74.00
07/18/2002,19.10,93.10,74.00
07/19/2002,17.90,91.90,74.00
08/18/2002,17.00,91.00,74.00
08/19/2002,2.30,76.30,74.00
08/20/2002,42.10,116.10,74.00
08/25/2002,2.60,76.60,74.00
09/11/2002,19.20,93.20,74.00
09/30/2002,5.90,79.90,74.00
10/03/2002,4.30,78.30,74.00
10/08/2002,5.90,79.90,74.00
10/09/2002,5.60,79.60,74.00
10/14/2002,2.60,76.60,74.00
10/20/2002,8.90,82.90,74.00
08/05/2003,11.20,68.70,57.50
08/11/2003,14.30,71.80,57.50
08/12/2003,3.70,61.20,57.50
08/16/2003,3.70,61.20,57.50
09/06/2003,33.70,107.70,74.00
09/09/2003,2.70,118.90,116.20
09/20/2003,20.00,94.00,74.00
09/21/2003,20.00,94.00,74.00
10/02/2003,11.40,127.60,116.20
10/29/2003,23.20,97.20,74.00
10/30/2003,18.60,92.60,74.00
06/16/2004,1.60,75.60,74.00
06/17/2004,6.00,80.00,74.00
06/19/2004,10.30,84.30,74.00
06/21/2004,15.80,89.80,74.00
06/22/2004,16.00,90.00,74.00
06/23/2004,16.00,90.00,74.00
06/24/2004,2.40,154.90,152.50
06/26/2004,2.40,154.90,152.50
06/27/2004,20.20,94.20,74.00
06/28/2004,4.00,156.50,152.50
06/29/2004,13.90,87.90,74.00
07/01/2004,9.60,83.60,74.00
07/05/2004,2.00,154.50,152.50
07/06/2004,2.90,155.40,152.50
07/07/2004,3.00,155.50,152.50
07/08/2004,7.30,159.80,152.50
