Date,Color,Side,Location,Number,Agency,Facility,Lot Number,Source of fish,Age,SL (mm),Release,Reach,Notes,Mark,C,L,S,Year,RM,lat,long,Truck temp,Comments
1/1/02,yellow,left,predorsal,"4,600",MSB,Dexter,,,,,San Marcial,3,,YLD 2002,Y,L,D,2002,67.5,33.680714,-106.992979,,
1/2/02,green,left,predorsal,"7,300",MSB,Dexter,,,,,Socorro,3,,GLD 2002,G,L,D,2002,101.6,34.079163,-106.867126,,
6/2/02,orange,right,predorsal,"2,082",FRO,Abq,,,,,Alameda Bridge,1,,ORD 2002,O,R,D,2002,191.1,35.193578,-106.644815,,
12/9/02,orange,left,predorsal,"41,500",FRO,Dexter,,,,,Corrales,1,,OLD 2002,O,L,D,2002,195,35.226104,-106.596474,,
1/2/03,green,left,predorsal,"61,118",FRO,Dexter,,,,,Bernalillo,1,* plus 918 yankton fish,GLD 2003,G,L,D,2003,203.2,35.322184,-106.557477,,
4/3/03,red,left,predorsal,"22,266",FRO,Dexter,,,,,Sandia Pueblo,1,,RLD 2003,R,L,D,2003,197.8,35.263284,-106.595205,,
1/3/04,,,,"43,206",FRO,Dexter,,,,,Sandia Pueblo,1,,none 2004,,,,2004,197.8,35.263284,-106.595205,,
1/3/04,yellow,right,predorsal,"5,307",FRO,Dexter,,,,,Sandia Pueblo,1,"* 5,307 VIE marked, all were calcein marked (Dexter)",YRD 2004,Y,R,D,2004,197.8,35.263284,-106.595205,,
4/4/04,,,,"41,445",FRO,Dexter,,,,,Sandia-float,1,,none 2004,,,,2004,203-193,#N/A,#N/A,,
4/4/04,red,right,predorsal,"5,100",FRO,Dexter,,"2003 Las Cruces, 2001 Dexter, 2003 BioPark wild caught",1-3,30,Sandia-float,1,"* 5,100 VIE marked, all were calcein marked (Dexter)",RRD 2004,R,R,D,2004,203-193,#N/A,#N/A,,
4/4/04,red,right,predorsal,"10,099",FRO,LC,,"2004 Las Cruces, 2001 Dexter, 2003 BioPark wild caught",1-3,31,Sandia-float,1,* all VIE and calcein (A mountain),RRD 2004,R,R,D,2004,203-193,#N/A,#N/A,,
4/4/04,green,right,predorsal,"8,500",FRO,Abq,CSSA03,Spawn progeny of 01 and 02 wild caught eggs and 01 and 02 adults from those eggs from SA 16 june 2003 ,1,,Sandia-float,1,(COA),GRD 2004,G,R,D,2004,203-193,#N/A,#N/A,,
4/15/04,orange,right,predorsal,"1,500",FRO,Abq,CSSA03,Spawn progeny of 01 and 02 wild caught eggs from SA 16 june 2003 ,1,,Bernalillo,1,all calcein(COA),ORD 2004,O,R,D,2004,203.2,35.322184,-106.557477,,
10/20/04,yellow,left,predorsal,570,ABQ,Abq,WCSA02,,,,Central bridge,1,not part of protocol study,YLD 2004,Y,L,D,2004,182.8,35.088992,-106.680414,,
11/3/04,yellow,right,anal,"9,622",FRO,Dexter,,,0,,Bernalillo-day,1,,YRA 2004,Y,R,A,2004,203.2-193.6,#N/A,#N/A,,
11/3/04,red,right,anal,"8,639",FRO,Dexter,,,,,Sandia-float-day,1,,RRA 2004,R,R,A,2004,204-193.6,#N/A,#N/A,,
11/3/04,yellow,left,anal,"3,021",FRO,Abq,ABP04-007,Wild caught as eggs in 2002,0,,Bernalillo-day,1,,YLA 2004,Y,L,A,2004,203.2-193.6,#N/A,#N/A,,
11/3/04,yellow,left,anal,"2,791",FRO,Abq,CSSA03,Captive spawn of CSSA01 and WCSA02 13 Aug 2003,1,,Bernalillo-day,1,,YLA 2004,Y,L,A,2004,203.2-193.6,#N/A,#N/A,,
11/3/04,yellow,left,anal,433,FRO,Abq,"CSSA03,WCSA03","Natural spawn of CSSA01 and WCSA02, wild caught at San Acacia 2003 16 June 2003",1,,Bernalillo-day,1,,YLA 2004,Y,L,A,2004,203.2-193.6,#N/A,#N/A,,
11/3/04,red,left,anal,"2,638",FRO,Abq,"CSSA03(natural),CSSA03(cpe),WCSA03",,1,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204-193.6,#N/A,#N/A,,
11/3/04,red,left,anal,715,FRO,Abq,"ABP04-006,010",Wild caught as eggs in 2003 or faster growing CSSA03,1,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204-193.6,#N/A,#N/A,,
11/3/04,red,left,anal,357,FRO,Abq,CSSA03,Captive spawn 13 Aug 2003 ,1,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204-193.6,#N/A,#N/A,,
11/3/04,red,left,anal,"2,792",FRO,Abq,"ABP04-011,012,WCSA01,WCSA02,CSSA03 (natural), WCSA03","ABP04-011,012 wild caught as eggs, adults in 2002",2,,Sandia-float-day,1,,RLA 2004,R,L,A,2004,204-193.6,#N/A,#N/A,,
11/5/04,orange,right,anal,"7,845",FRO,Dexter,,,,50,Bernalillo-night,1,,ORA 2004,O,R,A,2004,203.2-193.6,#N/A,#N/A,,
11/5/04,green,right,anal,"6,956",FRO,Dexter,,,,50,Sandia-float-night,1,,GRA 2004,G,R,A,2004,204-193.6,#N/A,#N/A,,
11/5/04,orange,left,anal,"3,245",FRO,Abq,ABP04-007,Wild caught as eggs in 2003,1,,Bernalillo-night,1,,OLA 2004,O,L,A,2004,203.2-193.6,#N/A,#N/A,,
11/5/04,orange,left,anal,834,FRO,Abq,"ABP04-001,002,015","Wild caught as eggs from Dexter, adults from Dexter, from raceway WCSA01/WCSA02/CSSA03/WCSA03",,,Bernalillo-night,1,,OLA 2004,O,L,A,2004,203.2-193.6,#N/A,#N/A,,
