reach,cfs,hab,site,terrain,rest_desc,rest_type,n_rest_features,size,lin_ft,terr_sq_ft,terr_ac,terr_less_rest,terr_inund_notes
San Acacia,0,0,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,0,0,0,The downstream terrace began showing inundation at 1000 cfs.
San Acacia,300,0,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,0,0,0,
San Acacia,500,0.4,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,18093,0.415358127,0,
San Acacia,1000,2.1,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,96025,2.20443067,0.1,
San Acacia,2000,4.7,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,685039,15.7263315,11,
San Acacia,3000,5.2,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,852697,19.57522957,14.4,
San Acacia,4000,6.7,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,901575,20.69731405,14,
San Acacia,5000,7.9,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,1625161,37.3085629,29.4,
San Acacia,6000,9.3,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,1529845,35.12040863,25.8,
San Acacia,7000,11.5,93,AB,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,3028201,69.51792929,58,
San Acacia,0,0,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,0,0,0,
San Acacia,300,0,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,0,0,0,
San Acacia,500,0.4,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,16728,0.384022039,0,
San Acacia,1000,1.4,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,61900,1.421028466,0,
San Acacia,2000,3.6,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,571864,13.128191,9.5,
San Acacia,3000,9.3,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,1768875,40.60778237,31.3,
San Acacia,4000,10.6,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,2219587,50.95470615,40.4,
San Acacia,5000,11.3,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,2713652,62.29687787,51,
San Acacia,6000,11.8,93,PR,11 emabyments attached to a high-flow channel,Embayment,11,17.2,4043,2983659,68.49538567,56.7,
