a,mu_lbeta[1],mu_lbeta[2],mu_lbeta[3],sd_lbeta,B_lbeta,"effS[1,1]","effS[2,1]","effS[3,1]","effS[4,1]","effS[5,1]","effS[6,1]","effS[7,1]","effS[8,1]","effS[9,1]","effS[10,1]","effS[11,1]","effS[12,1]","effS[13,1]","effS[14,1]","effS[15,1]","effS[16,1]","effS[17,1]","effS[1,2]","effS[2,2]","effS[3,2]","effS[4,2]","effS[5,2]","effS[6,2]","effS[7,2]","effS[8,2]","effS[9,2]","effS[10,2]","effS[11,2]","effS[12,2]","effS[13,2]","effS[14,2]","effS[15,2]","effS[16,2]","effS[17,2]","effS[1,3]","effS[2,3]","effS[3,3]","effS[4,3]","effS[5,3]","effS[6,3]","effS[7,3]","effS[8,3]","effS[9,3]","effS[10,3]","effS[11,3]","effS[12,3]","effS[13,3]","effS[14,3]","effS[15,3]","effS[16,3]","effS[17,3]"
779.7040722642189,13.223764299564143,11.79932079562173,12.397410486827946,1.6401459447420266,0.7585389849372159,220307.61851719624,6769.89618300059,929.8646430267717,20027.107040082432,1564419.480696554,116863.93362482166,28033.509090697,745692.3442898701,921818.4782578881,163291.44028096745,99452.39901146146,16539.72733228634,9158.13466367514,11247.29243286955,29711.209381634824,406582.14340046514,675464.5940349865,80327.29444991665,1669.9363200177197,1275.2034721579516,3880.6259055198047,234451.86846611038,34737.02442178494,20726.66531924326,12561.827710880523,75112.2273178284,22267.265562625817,5775.114669612272,5676.721337247961,5996.227235658939,5604.149758378081,9963.312637211771,20737.691313727944,200270.21932031203,9875.609645593493,14801.726263399354,26310.712088107397,28168.579481229328,30491.111137994438,29516.487210721163,51175.251198223064,59107.35302327619,48258.77323517329,7611.470034609893,9020.10687959692,875.7309404176266,944.5378034131055,2959.227924698348,1324.6260438210575,63352.19831050857,49183.284581714186
697.9307017906893,12.318725522275548,11.669825359793018,11.104924828263448,1.726145805751273,0.6253315702193962,333342.87581333466,18536.572919188406,571.9801253533087,30477.316003924654,1154891.953586677,108339.8010902435,117053.68132222505,295671.6570392853,622473.6095884126,175591.75016384185,110472.59407021859,18206.75739503507,11573.932595514882,13940.556861897905,69444.33927957583,281823.9184656767,733438.989530794,59273.98886032209,785.657818289066,640.02689719316,12671.780323365092,142936.47364025164,21110.757211690176,19830.00530278389,123305.19554953897,198970.05512582455,23928.15049930288,36168.996043362335,14194.020817695555,6558.356855446658,4687.325186282074,36143.871837318235,51005.25773532608,94586.13136514444,47931.62897156873,16857.98059788335,20682.45957534949,33308.463428814626,66240.87396194403,28897.68538936409,46262.50349448663,76218.55893035182,22229.572557203588,7120.28229040241,5523.069546357564,1571.3365281871652,876.6879127790352,8562.78200576352,6058.625875621038,52549.70608628308,30174.88254878624
758.5682658613288,13.520482459925876,12.206480825261416,12.458090058859945,2.00892063854719,0.6564690698525721,886199.2247073154,25341.025614485785,1310.2350441403528,17990.90802667642,2677898.560455274,92676.33188556245,97297.42938313795,623225.9365776306,940566.7004819277,196134.3256310424,107443.44267832537,28666.64921529649,10980.253746412616,17346.83214645616,73650.9288080048,280959.2643010725,1490691.763467472,78692.46478934742,7418.730325633245,1584.0294769771328,4968.525537080207,375118.4191256836,53931.617817321,52498.97429017159,35773.63522579131,111656.29845029917,36469.58617900982,18318.6945882795,9763.510244625639,6821.20076251987,8059.780711725678,18329.39791260561,107752.20039936506,179341.48285413778,24051.47339440352,25016.108940808448,23873.213421323555,38554.1400641469,69238.43949066725,59269.928889717536,108572.42837431702,65222.81713545632,73966.44469262291,8894.199084449936,10503.254389254707,756.7770171057716,1292.2160406031285,4015.2864561254864,6306.838260648723,73401.38559647587,84584.39815841167
788.3587973966137,12.385297577565048,11.685842733121886,10.888321455893587,1.794648388398421,0.7076486140633609,293294.481001003,6430.402515476304,413.53382006615993,37050.22748838701,1247156.979865754,113257.20131583515,94385.53024394157,425231.1048132313,693838.3493216963,203805.65018939204,134843.1673016175,23906.010011947772,12943.957585526687,17838.4161800366,44328.54677743802,212893.9214388447,957511.4148425286,81725.28202107224,1022.0200136683055,667.5558426800796,9614.506684373744,298897.119078496,91136.8570049876,56186.02290458379,109139.1787087347,159935.85226300315,24452.725336405707,50326.840430040735,19350.349216318824,8926.104781975437,9720.882324645725,26702.60584309396,118606.11037875683,165734.7770698244,69289.44101486895,19381.728598542915,24044.263440600236,24766.366798942454,112860.88187232555,40970.48454660908,43133.728578064605,80292.49749136063,41659.29960191942,7197.444494696193,3956.5098414847075,1470.8274972343795,1724.0699950655378,11467.80729898344,6210.2302322802425,29151.474555309953,47790.498596740814
835.8821784976749,13.380555306281282,11.780542989788014,11.337114549746117,1.9166962414398319,0.6926787539904122,639307.6896457988,15193.455884595805,1943.513404626637,18487.547840546118,1986404.5021835656,103495.72229914935,111762.45685810309,430198.93538090773,986842.5823782167,195686.77207428552,97885.37095972468,24149.350469826797,13187.527997411291,16339.317442642998,83368.10106781598,163839.05540924048,1218840.8394111302,61094.14974815012,3624.441512913921,4668.540487445197,6965.087943901535,506780.15520998574,75889.3852885768,90021.75952321063,85381.07417679594,147559.51863649712,26837.437039561457,26848.205386001515,15178.355222614056,6077.100108942865,4590.0186700078575,29695.423031174545,70382.3774228345,188948.26103026886,39942.90964843241,26859.631139803772,30877.01040091994,24902.740880550744,88643.91261166566,33609.86405721879,40427.78351658144,51224.38669722742,69156.54968321072,9427.454050847393,9009.885985799283,205.02009566938318,785.4470460563113,5360.3234716330135,11902.691693657312,68339.78925760907,46754.64779463191
526.5136533407104,11.786910634799591,11.780829975116653,11.369149267702015,2.29162292793828,0.7191819381176012,111417.0702877234,10504.389015911815,328.8138134116355,23737.506751365145,1183296.8657999279,177910.66535208139,112617.8912768374,638697.078597428,649171.7940100931,113916.62947554661,65514.60991363032,22537.38340891567,10109.237531291716,12060.75159731519,73662.22542827365,174027.10855280815,886093.7496010278,132381.70279349422,1865.1724305662342,418.6047361520342,7357.673357282312,144127.5162792046,26501.883753279366,25517.935134000618,89179.16771525101,111720.90161633627,34966.10345784329,16421.186205495433,13588.534164215118,9178.271562255935,8881.760460305662,24111.48696036288,80432.04329022109,153162.35677542107,39928.749035611436,16784.486524940196,19554.128527807912,23568.869834437017,51094.40484766057,43139.500275170096,77853.95230854375,42458.26866531243,35660.55444742752,6953.0543517562965,7099.798317047287,1539.4055632172692,660.4352337052442,5956.935501734752,7993.956734554137,36208.65256451818,22590.673150678464
624.7143719216716,13.145387030349829,11.683288514456029,10.06198653986607,1.7983628782064571,0.7597620655369841,615760.7294721775,17365.763475365056,604.2685617794886,43915.083181773,1518058.6844784082,107498.7490508718,131173.60712981815,567504.9281844433,569667.9751623331,248414.5681789006,83220.52140685297,21430.942236377905,14000.731580849431,15185.408356951975,81078.30457912119,214808.73868952732,1002878.7471024618,53823.3967172624,2780.753906866773,327.0831290955631,3285.8016072884266,336448.92280722724,52098.29933290166,27442.236394527692,155110.85359134624,274118.4838203687,48951.46224767723,34262.95958170661,16297.998329598218,7625.090813637305,9613.285763551956,22890.293181057932,59448.01465156523,166436.02447158648,18434.907235422277,21672.57898045008,29851.74084529919,22922.57088309142,86745.22727855462,33361.1013101614,18081.978288856484,38983.60573965586,53528.131966196794,15379.544174467117,9777.799589590975,216.24746771278257,3127.817581891009,7171.366705261943,6633.577083812915,64671.466341500454,27973.072428259515
693.5089161732325,12.712641204998816,11.578765340630333,12.005251758242775,1.9341412882998343,0.8611178688072219,791303.4372887746,4293.834548246606,152.58165829387525,11649.083711429003,998943.3285736798,42210.34215614437,79104.68330654963,771533.3671154964,997791.6001362039,106433.9515734601,60448.04181918098,15674.375486464542,8145.356553165801,9718.892366138562,83206.1511276454,224038.60175443118,474461.17305492674,47580.58184641924,856.0267606793268,255.9073792835197,5693.945402530588,189421.73069379196,32693.821152466015,19160.934910863703,51882.997410139884,113366.93455486346,10028.684532970065,13853.648404599515,4354.337023070167,4101.677325198093,4293.433058893541,4509.425216912271,27362.874643322466,42767.20848616418,34361.018852471374,9945.52349457213,15943.734743717472,7749.637898702116,41225.44106596237,19469.87140502279,123154.33873915924,40231.44779449954,35370.8924461429,1979.3323912120807,3593.0324935838107,1520.1654177234518,2278.7392939168994,5899.631023200847,9147.484979809937,30903.428097530883,29573.151087951606
665.300797554242,11.73826161604354,12.014423779299344,11.553340117985014,2.0912689236690576,0.7868876848403961,188055.6352318018,8861.903300620252,331.08731749600673,23322.221889536413,1152398.5704463937,60597.84747483053,97625.20658509588,730912.4917363889,448606.7435710758,136404.48404827443,55039.43004770679,12370.275812638489,7402.389582302158,9383.177926411765,56890.40093555725,215274.46251683435,982597.7116113786,24092.398677951245,1638.2529385216717,1222.9550854381575,7149.354795085879,137930.05333297973,23727.616940091903,10447.403094918634,66524.02453577417,87888.92228695616,12046.13338577091,17292.860735246646,11031.218999990757,3679.257459634611,2458.386105315203,9282.125010137102,23909.35671654727,36359.79234689727,29188.38531828583,8145.8400181004645,20523.262879952203,29458.910814626932,56052.219691654755,38639.54139272473,45913.94500958663,112065.66531839651,53296.402599038614,12802.305476700707,14574.327108278107,244.00247272706423,133.57568107099786,3068.3000450041477,3077.9388750113376,123136.1820716324,25879.06765353259
692.6228254178534,13.259189544217591,10.928718429873738,11.956625982031353,2.0687005519705677,0.8575119469944648,63233.881491543056,5970.2262098779465,296.9213360986132,17444.890145316927,1521701.8885547363,31147.974496426712,72070.91080819565,490065.52092017257,371785.1683410671,155147.24752489149,55252.763262012486,14110.013472171282,6960.338697032331,9519.671327551101,95848.905190011,248408.29648871298,375590.4454822681,20824.52317279653,654.9543526450801,249.38075727069034,2926.1301557156717,151438.16620450385,27290.782223743336,28125.339758724534,78301.4272220323,55181.49541400908,16034.537518616968,14918.841601741093,4308.253253649541,4144.83138377128,4022.614057513392,8099.633852607241,9476.441392075294,38198.984180285195,4727.648633982276,9130.896928488262,13200.768034849834,10693.838571550647,38703.07978349405,15561.988329585072,83905.40938847612,35138.64302976779,155143.41820885194,5117.878344998467,5696.414300056332,333.4585535908337,105.73099340874464,4313.030257848528,4114.482363192395,60561.9909078251,23141.36614730793
