a,mu_lbeta[1],mu_lbeta[2],mu_lbeta[3],sd_lbeta,B_lbeta,"effS[1,1]","effS[2,1]","effS[3,1]","effS[4,1]","effS[5,1]","effS[6,1]","effS[7,1]","effS[8,1]","effS[9,1]","effS[10,1]","effS[11,1]","effS[12,1]","effS[13,1]","effS[14,1]","effS[15,1]","effS[16,1]","effS[17,1]","effS[1,2]","effS[2,2]","effS[3,2]","effS[4,2]","effS[5,2]","effS[6,2]","effS[7,2]","effS[8,2]","effS[9,2]","effS[10,2]","effS[11,2]","effS[12,2]","effS[13,2]","effS[14,2]","effS[15,2]","effS[16,2]","effS[17,2]","effS[1,3]","effS[2,3]","effS[3,3]","effS[4,3]","effS[5,3]","effS[6,3]","effS[7,3]","effS[8,3]","effS[9,3]","effS[10,3]","effS[11,3]","effS[12,3]","effS[13,3]","effS[14,3]","effS[15,3]","effS[16,3]","effS[17,3]"
845.8924629967246,13.53935261944645,11.008062388380996,11.051063525394976,1.7043096231066872,3.77933212619586,134757.99212593882,6942.439680577037,998.7323391369741,9663.548444215166,1501582.1065106806,94601.10812229304,71265.31798273232,1206176.485744167,673125.9655725939,96165.46172690757,61238.633079640924,19143.00502400486,10846.631132338931,12690.77537487457,48394.59566312486,140159.20955560778,834820.6286516857,99615.26053636597,1549.2149916900134,1215.739577787013,4224.604325913894,265632.62984309666,37988.46452407757,25659.52204546488,80414.88065503215,143017.8792841573,32598.720609335734,14055.012609502926,11661.457588309215,5547.178013496186,4304.708854866245,14278.593936138512,37424.74716849698,100803.66586672897,19186.704457057054,14936.682560946087,31238.869100438907,28332.485010709574,44367.31709955704,34626.3776877515,85301.41259731831,93791.47568575092,72776.45247798841,16744.97931241197,15278.27270354319,433.8208053158344,8211.513575811232,7963.957990757744,18736.788144741906,70361.1026805771,21974.50094382802
731.0067138455115,13.010063446937464,11.792997105213917,10.834517263234245,1.4653293454720027,3.9736702984391092,408063.91652393626,6992.267095690153,274.869298932531,25635.414830874583,645360.4844884748,98799.94291098628,56708.45930792481,1036460.8421435411,723913.7429953,110524.61012924132,56263.29250407432,17028.96113000377,8805.618405563555,12847.595657766255,42531.830010358266,171437.83284524095,926289.2667941016,29299.16155197488,4479.740654583353,736.4247241003889,5844.565286221189,189821.522216245,18873.274418914927,64340.56546800357,44747.56937284808,118935.5537945985,32000.257793233894,25216.707607874807,8575.641801922036,6162.193584285473,6183.863529674155,19325.370193893123,111338.74922170308,153384.60250091832,8713.23778609956,16699.777760931855,16871.808998754535,47959.85506762506,144230.83882275416,29966.34608191038,114043.90007703414,105135.151291513,81069.40777292452,6874.078002161219,5206.221286962118,1005.8084464887423,2040.098225467722,10601.27004779178,13611.383918976318,68130.3339796633,16814.9419480051
708.4882044727702,13.46275111324524,10.825859350295637,10.954018641906146,1.387976793069505,3.3566099384847714,313925.42482896184,12108.53294275146,626.6164752166293,13607.387646712446,1317271.2399669737,63123.50367007021,177821.11239868143,398635.78007403424,683852.0055797864,148885.77844757537,64324.858692549264,15354.446880969788,9364.733098397954,10030.065555371886,56965.19402676493,176981.44345316192,718490.5304642407,611161.1647068926,674.2805981801317,1378.507832966975,5011.334970048844,306478.24849125894,130271.22057517632,35558.843481303695,166641.37026677732,212006.01146597308,23655.82707458893,20889.46118610946,9882.206862382329,6346.715305172642,4199.031163053197,18406.721809171457,50178.26287991585,93599.73851305903,26303.62794467413,16215.41825223791,19657.659376193158,84091.2644613812,84511.98855490357,28993.380260563117,76365.80126627984,90916.92474066038,70356.62673707966,11037.21371204612,22265.133075673362,1102.8646409043433,2819.3442391741764,5731.243503210031,20087.44776512756,48952.727747431214,130382.4943673616
636.2899303525488,13.089094182773845,11.148369646153718,11.497464284244339,1.5225139601594155,3.7066717031172836,272551.404408405,14140.27242785,421.89221072915063,15754.884485917471,897138.5265610216,98034.52447581034,59086.75113139038,717736.4662278655,583181.0465983027,100892.33665232298,63429.17306306684,17581.568061253965,10907.150810293464,13762.274027344158,52480.1362909037,194950.39683355435,798507.214021845,61817.61645689039,845.1844904473364,1253.80313068997,9507.710259551288,126215.64481090529,48361.16272242276,32286.262806930587,45865.852900866856,139069.06512052473,10615.825783493365,18580.041390071878,14058.094455540084,3851.890861835789,7668.871599037309,13112.096697658955,42596.248295237325,111184.01827149562,9375.571946100466,18383.68423405286,22614.31143537205,13122.381429603385,139738.95053126325,32813.91868550349,72135.17908057861,80771.5734795243,43627.256653764016,5709.280664270998,11099.579854043037,463.145031462116,2400.172869624848,9532.856274157977,3405.4484249387233,139140.65196397918,82786.40956636291
657.8558343201095,13.011188714836958,10.709729758070644,10.420095567639276,1.4609035418853897,3.56850811415637,191182.4050118829,13975.650061903463,1166.8804825021605,14075.890701165701,1531758.3471607699,155436.10120706056,52369.094386167955,804226.0379235989,584908.6895950974,204524.48206098765,76670.52985050592,22870.75276785756,10614.53474535443,18055.58973756221,50272.11045357152,168712.3813288928,813567.2264352144,30076.17955769207,1716.3320702033009,2198.8948201336993,4247.298804659845,373677.32309887226,53615.64867375256,85217.39103275312,95766.14949501457,132638.49620602975,29138.83852205275,24021.616455243227,11966.433950522633,14520.244237239463,5617.9365927879935,25726.750036935555,149370.74692452903,136668.94993023292,44234.018809067165,28554.097495374015,32261.26823444742,38944.00264936877,88907.63194442508,60416.8815384736,31446.65517535362,52675.29236030143,76535.47588853679,22824.0968173234,11283.140249180977,2072.123521989629,5347.155650371739,11008.553895875073,12618.561703680676,91350.36486418666,30604.3332437817
785.8323176210735,13.345544656616052,11.56744437640297,11.155926403876805,1.2331526603882579,4.1022573514230265,101307.37675846173,5682.643572905563,673.2971737101187,15852.856807554042,1312753.765727767,138886.88323906992,83825.27808381863,343525.8802895456,529977.0680727155,161712.5729047957,71177.76478481005,17050.97678879217,11367.448897376764,16241.822336688907,60918.31954455851,412382.2868168173,742296.9041724914,66888.88396168037,3171.3808879390053,508.284914312544,6719.323903343569,233829.62895183754,84015.21856812976,64829.72549700401,46811.33164268371,128591.2085366525,18681.10394202785,20719.761804140566,14116.428689984332,2454.9335030391644,8732.909462606605,19868.45970726914,42147.270298990945,103605.62049872076,11665.835025223212,36376.419227450715,27759.171170547615,50306.673731677234,121352.98779021572,43492.93348384886,234996.94383815496,160900.91997521833,127670.19556470921,12304.860432809375,16478.98238818824,1989.6473783230563,877.4944325648894,9309.52049618621,19933.695372319253,157945.03507132735,54697.49211594146
773.3149270077896,12.667384959311338,10.97831009040333,10.908602236464008,1.3687794048459117,3.785240959318674,231312.1800451227,13206.458251947346,385.28694246214957,10100.530194497916,1315537.7780872805,116999.65186338511,174205.1562390165,357216.4182954943,682775.0500107491,135560.5904824461,105790.27731770006,20030.032808324297,11209.47432086751,13186.740401420337,48044.90229052806,160395.8229578482,877045.8274197506,59607.314619745295,1192.9936415094517,2169.9403068289953,3155.4097498114083,391997.46070706396,58632.244779652036,30353.237895646893,50770.99747966492,102288.92965126419,25279.464656174772,12837.6821984685,14335.766206627759,12647.510791731156,9819.823747135757,16571.017607006826,102463.4909842894,120867.07513824686,14547.167008780341,9642.835787746279,25341.880012120586,13747.552127728277,64806.632409152226,34258.35546143516,19165.79144878467,66269.95909644419,34016.62393151446,14266.887340483874,11113.44214223205,799.566927625501,8508.099346711471,4896.792559984596,9664.1783472092975,45113.46934944824,27717.877049505656
719.8081808130485,12.898487507340034,11.182659631001833,11.15587999826469,1.6486758871377838,3.8014048044501303,438193.5963021827,11880.405382627716,596.826054581492,11058.085256476379,1206293.6942597032,121762.52293811915,66968.30903252645,366727.8081558033,1054004.7959802954,101721.79296999778,95596.55873272492,18316.173820214644,14186.64745260382,12073.89567289911,31832.227583373915,235664.42012531185,649304.1006290546,146413.52886707845,2807.9629707526337,3079.9130047652243,4662.357586088521,465397.1188338127,61595.519158577685,25637.85531128421,103864.58524416793,81756.24220613754,16572.873570339307,11865.294166542017,10614.678162940128,11684.485771517566,7555.4600186922435,13536.335940180395,35829.003174067206,138016.8814833529,28190.56364016082,15731.568606338076,23378.33491735956,9303.435514825227,53256.23886719821,24098.610837515902,22486.666794970766,63309.98356971924,42845.89169856318,7828.417343214929,7951.966494066017,1370.5750215143964,6484.632028099911,8141.629993972831,6651.2310436157295,74755.10488399565,36780.90340215883
681.4154576085147,13.373992450939646,11.602842753904975,11.167705132130227,1.3782506280408915,4.040058281586965,361403.0902872992,9550.633756827747,1287.0809477054675,21761.362591861318,1768959.4505000168,67729.47911943174,41963.50615668281,577309.2063894587,783641.8563869817,177094.2726140522,80593.2983703031,17549.595884428978,8114.168394612042,11412.847110195527,93837.53969497101,162841.3989297827,1226589.4708720779,21715.357039667924,4142.249359221669,372.9510563153701,9880.252590821905,396884.0978087987,48497.961917514935,51792.110463903075,97684.39189423533,125716.15718542718,15909.141375605315,30111.000651223327,12988.145347456275,5078.278123122168,6460.672388341121,25892.47087577063,62698.866540638766,209716.30743801245,4019.2482582151097,20177.917303345806,19823.059656780122,37978.57291590855,118380.60774035571,48793.18895491059,88910.46175206504,71581.04981644916,36161.92833956624,14136.342672552059,17023.518709570035,465.8597263002688,194.55599147528955,6287.7961998507935,9249.450773268522,110128.57461215276,87018.84071688428
750.2243131184439,12.912560763312143,11.266504625639328,11.335231415843882,1.6104767867088712,3.434266224657536,220021.73364128344,12002.044376662629,837.7535521551833,16933.726739497153,1557186.9039403158,323669.1979694579,138874.102842497,533420.6450396958,1023785.8053409058,112587.0495300488,86844.49243746822,29506.962075599735,16701.37112516316,25402.381234717574,75945.71065000107,278830.6955202471,877912.4510950054,816513.1418906768,3404.822048818101,4358.5444325626495,4687.9392422467035,655318.8007765954,87564.43364813182,53568.913841926646,147500.96156017866,160028.12834214576,58617.16706084362,20876.432309679054,19268.835543466867,14607.653887689397,10756.321569996791,35217.87814585632,74125.93987277377,176837.69399582734,92639.26994641441,36553.87844480441,37511.20864046971,42943.80112796466,77299.98725636918,50332.0450369751,44809.67987991913,61926.69066305896,103274.50716888822,13583.311814118912,13004.654727285804,2818.7233802191226,5141.202739335469,8817.735656354367,9222.922168161751,109192.32444167686,60649.119273072065
