a,mu_lbeta[1],mu_lbeta[2],mu_lbeta[3],sd_lbeta,B_lbeta,"effS[1,1]","effS[2,1]","effS[3,1]","effS[4,1]","effS[5,1]","effS[6,1]","effS[7,1]","effS[8,1]","effS[9,1]","effS[10,1]","effS[11,1]","effS[12,1]","effS[13,1]","effS[14,1]","effS[15,1]","effS[16,1]","effS[17,1]","effS[1,2]","effS[2,2]","effS[3,2]","effS[4,2]","effS[5,2]","effS[6,2]","effS[7,2]","effS[8,2]","effS[9,2]","effS[10,2]","effS[11,2]","effS[12,2]","effS[13,2]","effS[14,2]","effS[15,2]","effS[16,2]","effS[17,2]","effS[1,3]","effS[2,3]","effS[3,3]","effS[4,3]","effS[5,3]","effS[6,3]","effS[7,3]","effS[8,3]","effS[9,3]","effS[10,3]","effS[11,3]","effS[12,3]","effS[13,3]","effS[14,3]","effS[15,3]","effS[16,3]","effS[17,3]"
570.4277938070571,12.813300450407528,11.733410755652985,10.677677822267515,2.4009007299417457,2.2422781084790344,702016.7581907588,9044.53734786403,2730.081112618444,23423.444781528553,1687564.3520164234,109854.39406689497,335842.86269032734,793612.2331362425,653706.9839602314,231197.9169757701,90477.90301791174,28862.59663240403,11242.429214894792,15712.367177797583,61148.24170873915,174639.94171175483,609926.6562984188,157855.27955059873,1842.341226308047,1528.4787266306007,11311.605916972941,622031.9349255979,79013.94908057497,77999.7542653468,191726.0703086564,187683.9833815059,61715.79709444141,30946.555523357856,27714.88190184373,17878.93957599105,15381.56889848538,38811.85263068353,289325.3563900809,221503.77985293246,15019.00093962005,27157.965780590243,24511.461841426128,98958.24875311983,100155.26483531589,42987.393202883875,110917.85340355629,54794.000165434925,57163.99228414726,13628.779594690077,8752.01414367738,2266.9915606708983,4939.615062330195,11617.536915227782,9924.210529691263,106912.43184778026,59080.199696052994
454.3199445870672,13.267400258172387,11.818572259784675,11.111399503063039,2.5466339792708093,2.1594054899390214,579290.8962712494,11651.635310432392,937.4074999222771,23862.784372997077,1548127.120031902,233583.96650780595,46121.37311365458,960270.4845092291,574267.5331692223,245983.9248432209,89565.11035340292,26703.73152801852,14896.279998470376,18042.796628195578,50096.480725763526,540906.1816248124,790251.989083448,69743.40532245504,3123.6135727061305,1646.5130413383258,10015.360722640766,400123.627900407,256795.49770723484,72064.76992275994,128385.03432508507,428299.9840982702,50949.87386553003,29835.939053941478,23120.038436231313,15290.225005566755,14798.087092485059,27823.608482103686,166328.65882319817,278551.4133416036,5872.401813571874,19006.36406824729,27101.801219570254,35863.786895794474,105573.29354810882,44495.59510403167,59668.76312475861,146905.0566509868,81624.67233188811,10046.708291539502,10828.97030144161,2186.413174647398,7293.7893097776305,9066.81340093812,16510.747505389285,161260.8705820412,179615.82161317978
817.5949709590448,13.73380301226662,13.402174954544217,10.706770456079578,2.265591566566876,1.8754569745832272,160056.0402578391,15149.313596171343,1046.5651308909416,18719.397627795,2229337.135339337,124245.85436242176,85245.959318079,868609.423822864,1111315.8030627922,180607.29455614698,70943.87043314424,22686.326553555733,15789.966752107399,18972.278051113655,79114.45511536568,269726.7476694137,1643427.2327596117,58154.81222293892,8754.680551952919,413.362438145155,12384.620463110554,516900.8065825151,57941.3438231304,73700.49368335913,188231.48430152013,129439.04654946114,85391.47446856051,38579.9255142659,24737.774599898672,16171.95080217856,12070.279240069502,52002.02594572535,373714.7912916964,181778.98541071767,110507.92052318485,35272.335178703084,26419.637669910542,23383.81124059247,123151.18512020489,43892.41714248117,55096.447361218074,40417.918177871754,58481.09827750734,18802.099637505486,7758.865181129234,868.9216252214344,3471.0615492914785,11351.329972280182,27512.887265900074,52155.45340965431,37498.99167083695
736.3252000156886,13.195450693462591,13.166654694836076,10.348323214851995,1.7975953975885035,1.9211219475281949,314054.1989047545,8510.735732830668,817.1282616048121,21950.836656531323,2058258.141621629,140065.691368109,152960.90744484583,671229.3896433583,1032552.9234117693,162755.27272107248,108626.37016682653,23774.629828812307,11840.408954063942,18435.876140900727,67883.92237919677,275865.1248398914,953837.3051694697,41672.19857265777,3370.914880847994,481.06761992134614,14414.521258730372,485079.330197132,72586.8469434696,144092.77754689357,244378.74948793414,139675.5302834649,70701.79263887784,45375.85235486233,25479.28389320451,18447.01315177232,13244.004505556362,36755.084271180895,187834.0144231239,356385.39715909737,13265.910202969842,12541.893415489492,24009.25747584366,25147.441134275938,68176.65854541594,50524.91347588035,32376.081468943183,50678.59294570899,111196.61196481434,20329.60372238559,7266.289631512183,251.77924401200207,970.6145308274827,7851.835310604893,9953.390419941265,92653.8480189655,53720.8655619787
721.9120133056457,12.325734882627781,12.566546616501782,10.783682936903576,1.8773447062013384,1.6899410154869088,500296.9637921506,15564.18338888114,1771.3148923199562,62633.328009360004,1834907.619578013,161949.57032793076,77768.50076107123,587292.9134135114,563712.2168094362,175856.10981093807,113824.02323460793,21932.080296817214,13263.615444006884,13754.298028522027,81838.62541906239,272396.75339258375,1463434.796429342,126458.64556950606,2143.401846499892,6298.23164795193,5762.921098117674,554129.6428880568,109985.91401021439,108173.4546922557,270759.31961420894,395233.1630393111,32097.607518211596,35481.00194503431,21672.763798143835,11034.2406238799,17366.73944286059,49359.29369757858,153657.7419809037,138785.86003752798,88149.32247103722,19335.956321146776,33446.331025341366,32667.19249400178,97020.3584029481,50110.07130502914,146811.64120587322,116650.75375449061,122111.40337904,17997.075749517142,20767.74678272528,1122.2666281411402,2399.7409056065317,10700.802860921433,18055.91501000762,103886.47388494803,61501.59071714416
718.117889536546,12.800197134589647,13.079368428483367,10.677528114609864,1.9991010605052422,1.6673337424639278,263589.96982732246,11015.727342640159,836.060505514071,23021.706518938085,1849618.2472766405,178509.3934466945,296466.22088080173,991942.7713215967,1069278.3036623828,210383.7405407358,59658.03092725399,23138.39507901583,12218.582217262221,13633.9423945202,78438.88148473323,294467.65714837617,903587.2160696043,99593.774310974,4190.561142871445,1284.5620445224697,9755.817932304528,1369259.6258907814,291295.83377024415,142317.05985632047,197791.64019171323,202660.72739750962,57920.54041820793,31096.502302823963,22778.11716281691,13799.63865417081,15440.276810658806,39243.91682502875,260970.03355802767,271053.76583569875,30922.814514690097,19261.908085506606,24159.06186704399,45172.39472419456,96280.15578063855,35269.4866996368,141296.35486633814,89192.94850703809,79946.78112772743,7632.574855006413,11734.079894688397,914.9089460529879,2608.4126258811416,9429.081856310566,10680.435252357804,161375.42109588365,64881.672598353
605.224735947581,12.61110282063475,12.088810554329706,10.218532535103417,2.5427260925209225,1.507658583085827,380979.672613928,7637.7111801850115,945.1601948473525,24809.77974301493,1836165.2309852142,46804.3496123264,80403.63851428966,744538.0250917822,1139000.4946522266,157948.2506403865,72295.19009764539,20194.190742117968,11289.918981276189,13887.997384788796,82170.77648351464,222163.3073274694,807098.6120419306,86694.40981891035,3454.778337017381,4371.398099631673,15626.583104805022,331233.67551537714,226423.68092864752,85898.39054127647,170551.6848387731,141113.26315545352,51404.808193463585,33633.58906090374,19881.181756610895,14906.53145060548,12746.732870384969,84727.45758789824,216956.4039476853,261853.4499888924,129976.32377536733,18119.910542332556,21251.04893529625,50704.410155073776,122275.10172321263,47081.91900845288,81496.81657639182,59246.75121775002,95079.06476456168,7116.937413734814,13344.33289607278,1477.7279654386923,3423.662268340342,5135.458319219597,20618.100870008555,54807.34767253996,72241.92097308836
757.3949931362156,12.830877240858856,13.075372709155607,10.670092965035849,1.3727624500483346,1.6581033259406741,196747.9112783746,9881.625645263972,744.4683434420199,28620.61178641031,875444.0619336118,152350.16144065018,57305.47538764145,503329.6793776453,452934.9351844125,154640.1303458979,90844.5839849583,18374.483082009494,10055.720461481687,14060.404186417076,43274.741971422656,115595.00733150769,650213.4121986694,101209.87390581527,3045.3869696135835,3096.3248193678073,4806.521994452424,747054.7495282693,89960.32768325433,68538.98267481268,134604.03724520962,211476.89387573194,39520.637196758405,32997.44453773594,20879.95867828301,10936.445013336359,12177.525435885327,28760.849561283834,199140.40652320578,155928.32905301033,6285.2218900640355,18394.795409444283,24289.77382440076,19885.065827478633,172715.00489107933,50504.95184913391,41410.93190118383,60603.65437738873,76274.99818357354,9044.155711905833,12201.813334414166,564.4067391562766,4098.610364696986,8331.931214443812,19211.655025898737,80968.52393080892,45974.84849221281
818.442583287771,12.307004525085288,12.496953316518235,10.4265458532782,1.7960968042624423,1.5640921720808576,166093.23502074863,11311.38747097312,499.08500592937315,16259.706289950951,1476652.2536344752,123712.48967115615,99276.81727896094,363897.71031637036,1051608.3359474442,210801.22533638074,70767.00567600726,19690.577592892387,10563.111620107307,11492.219744813781,51000.76498681909,453940.8205314902,620923.4171217387,62749.48395549334,2322.008203771282,1876.4599481501814,12262.035124036063,774766.0843811668,87942.98540268243,87075.30345843021,187938.14459322862,182940.07399190156,41670.958611656446,36131.30922077814,18235.13821196329,12564.734575550972,12610.565234858781,60232.347502363715,382798.5099626489,174647.86941690388,62596.489670065195,20400.92092834964,21846.879304071634,28684.721819787967,167861.25839030143,29750.304169611074,133682.52726194615,71932.96294343096,67051.99005204138,8841.289305354043,4702.271869643667,2461.6035648813486,2401.830233531151,6840.747298910835,8757.24216036342,86168.9972118586,52945.02549962823
684.1858793245453,12.301834356968765,12.77200419776987,10.293841255099785,1.4529337822129142,1.4073773035869408,459171.32759197016,9749.498379181809,887.6873911658225,17236.966548048495,1197007.1048412898,66696.70715880531,77091.5810566925,605730.7826519901,562648.522911639,129888.37944660343,79423.92889868467,18573.566746444576,8732.777399271292,11538.527512926034,54401.879866672316,218288.5118164805,783597.8646888969,45813.53377799636,3569.093294008733,2824.204185498208,11076.772301999647,661546.9450489727,33773.525756531635,73932.51464444838,162677.55146408707,371738.76204752736,42872.2120550137,32875.13067436406,20160.391708703068,12510.39636099,11879.598530634528,64667.510644762624,128291.46528108565,121815.7941307702,40693.51310725849,12812.721931700711,18730.588980691962,24758.285217076063,128913.45378645879,32226.53950619514,32027.192415089787,36913.2214521035,101576.55805172256,5665.697933008323,10364.341234566236,515.3199472264652,1844.399833788861,6087.239719885389,14834.124024377923,44508.238477381725,111548.20378153218
