Scenario,Year,Discharge,"Recruits
(baseline)","Recruits
(scenario)","Recruits
over
baseline","Recruit
ratio"
"Floodplain
Restoration",1993,159.8,"26,522,712","28,341,344","1,487,730",1.08
"Floodplain
Restoration",1994,149.3,"11,823,804","13,174,650","1,118,449",1.11
"Floodplain
Restoration",1995,139,"49,993,208","50,793,485","628,012",1.01
"Floodplain
Restoration",1996,21.2,"1,149","1,149",0,1
"Floodplain
Restoration",1997,112.7,"2,914,899","3,148,414","231,875",1.08
"Floodplain
Restoration",1998,63.7,"526,373","541,769","14,687",1.03
"Floodplain
Restoration",1999,83.7,"963,893","1,070,217","104,187",1.11
"Floodplain
Restoration",2000,23.8,"396,981","396,981",0,1
"Floodplain
Restoration",2001,35.9,"418,033","420,304","2,241",1.01
"Floodplain
Restoration",2002,8.3,"16,010","16,010",0,1
"Floodplain
Restoration",2003,12.6,"10,151","10,151",0,1
"Floodplain
Restoration",2004,63.9,"40,472","40,940",497,1.01
"Floodplain
Restoration",2005,156.1,"37,036,775","38,061,743","921,155",1.03
"Floodplain
Restoration",2006,6.2,"110,918","110,918",0,1
"Floodplain
Restoration",2007,68,"292,719","309,262","15,987",1.05
"Floodplain
Restoration",2008,112,"7,495,810","8,603,776","1,018,605",1.15
"Floodplain
Restoration",2009,97.6,"980,213","1,061,843","81,637",1.08
"Floodplain
Restoration",2010,69.9,"225,967","246,506","20,216",1.09
"Floodplain
Restoration",2011,14.9,"87,767","87,767",0,1
"Floodplain
Restoration",2012,32.7,"45,239","45,315",80,1
"Floodplain
Restoration",2013,6.5,"1,093","1,093",0,1
"Floodplain
Restoration",2014,19.3,"91,813","91,813",0,1
"Floodplain
Restoration",2015,45.6,"619,808","632,245","11,419",1.02
"Floodplain
Restoration",2016,67.2,"530,814","557,982","26,340",1.05
"Floodplain
Restoration",2017,116,"3,316,820","3,700,881","383,811",1.11
"Floodplain
Restoration",2018,6,"1,086","1,086",0,1
"Floodplain
Restoration",2019,117.7,"21,295,689","23,243,171","1,614,120",1.11
"Floodplain
Restoration",2020,15.2,"1,068","1,068",0,1
"Temporary
Berms",1993,159.8,"26,698,051","28,005,341","1,061,240",1.06
"Temporary
Berms",1994,149.3,"11,524,964","12,208,847","581,159",1.06
"Temporary
Berms",1995,139,"50,129,500","51,043,320","746,162",1.01
"Temporary
Berms",1996,21.2,"1,105","2,122","1,010",1.92
"Temporary
Berms",1997,112.7,"2,951,661","3,282,221","320,261",1.11
"Temporary
Berms",1998,63.7,"535,382","631,550","96,591",1.18
"Temporary
Berms",1999,83.7,"987,922","1,189,993","196,472",1.2
"Temporary
Berms",2000,23.8,"387,503","466,398","77,792",1.2
"Temporary
Berms",2001,35.9,"406,624","487,830","78,933",1.19
"Temporary
Berms",2002,8.3,"15,958","25,974","9,862",1.62
"Temporary
Berms",2003,12.6,"9,929","16,967","7,001",1.71
"Temporary
Berms",2004,63.9,"40,900","62,128","21,167",1.52
"Temporary
Berms",2005,156.1,"36,488,172","38,182,407","1,370,965",1.05
"Temporary
Berms",2006,6.2,"114,904","146,736","31,810",1.28
"Temporary
Berms",2007,68,"292,710","384,790","91,716",1.31
"Temporary
Berms",2008,112,"7,568,235","8,912,958","1,231,848",1.17
"Temporary
Berms",2009,97.6,"1,003,713","1,225,357","221,877",1.22
"Temporary
Berms",2010,69.9,"223,595","324,806","102,102",1.45
"Temporary
Berms",2011,14.9,"87,162","121,029","33,895",1.39
"Temporary
Berms",2012,32.7,"44,727","66,762","21,863",1.49
"Temporary
Berms",2013,6.5,"1,070","2,326","1,255",2.18
"Temporary
Berms",2014,19.3,"94,403","133,899","39,450",1.41
"Temporary
Berms",2015,45.6,"612,101","713,885","101,518",1.16
"Temporary
Berms",2016,67.2,"532,962","654,368","122,206",1.23
"Temporary
Berms",2017,116,"3,266,071","3,469,196","196,544",1.06
"Temporary
Berms",2018,6,"1,068","2,341","1,261",2.18
"Temporary
Berms",2019,117.7,"21,434,036","24,626,548","2,487,186",1.16
"Temporary
Berms",2020,15.2,"1,085","2,340","1,242",2.15
"Flow
Augmentation",1993,159.8,"26,444,477","27,363,799","751,965",1.04
"Flow
Augmentation",1994,149.3,"11,655,619","12,965,501","1,087,272",1.11
"Flow
Augmentation",1995,139,"49,908,046","52,435,953","2,058,388",1.04
"Flow
Augmentation",1996,21.2,"1,081","2,151","1,072",2
"Flow
Augmentation",1997,112.7,"2,856,161","3,070,376","210,693",1.07
"Flow
Augmentation",1998,63.7,"527,385","563,359","36,375",1.07
"Flow
Augmentation",1999,83.7,"986,919","1,030,561","43,643",1.04
"Flow
Augmentation",2000,23.8,"393,821","443,202","49,445",1.12
"Flow
Augmentation",2001,35.9,"413,060","467,034","51,984",1.12
"Flow
Augmentation",2002,8.3,"15,949","35,769","19,763",2.24
"Flow
Augmentation",2003,12.6,"10,280","12,751","2,437",1.24
"Flow
Augmentation",2004,63.9,"41,845","45,400","3,503",1.08
"Flow
Augmentation",2005,156.1,"36,682,048","37,416,993","626,125",1.02
"Flow
Augmentation",2006,6.2,"110,040","174,997","63,858",1.58
"Flow
Augmentation",2007,68,"288,492","295,140","6,519",1.02
"Flow
Augmentation",2008,112,"7,314,503","8,206,540","800,889",1.12
"Flow
Augmentation",2009,97.6,"1,006,202","1,028,497","22,296",1.02
"Flow
Augmentation",2010,69.9,"226,438","258,737","31,816",1.14
"Flow
Augmentation",2011,14.9,"87,830","95,825","8,106",1.09
"Flow
Augmentation",2012,32.7,"44,107","49,360","5,338",1.12
"Flow
Augmentation",2013,6.5,"1,099","25,808","24,624",23.39
"Flow
Augmentation",2014,19.3,"94,292","103,694","9,052",1.1
"Flow
Augmentation",2015,45.6,"599,420","671,238","70,475",1.12
"Flow
Augmentation",2016,67.2,"538,452","562,850","24,164",1.04
"Flow
Augmentation",2017,116,"3,301,141","3,502,681","204,848",1.06
"Flow
Augmentation",2018,6,"1,101","2,657","1,542",2.4
"Flow
Augmentation",2019,117.7,"21,720,899","23,798,543","1,701,128",1.11
"Flow
Augmentation",2020,15.2,"1,071","11,083","10,007",10.39
